Date,PR,GHI
2019-11-27,81.48757264,4.909691667
2019-11-28,65.5584894,5.075216667
2019-11-29,78.72331671,5.35635
2019-11-30,60.77978722,4.935858333
2019-12-01,61.25222241,5.164416667
2019-12-02,61.31309634,4.657616667
2019-12-03,60.40035154,3.829925
2019-12-04,80.60564465,4.460291667
2019-12-05,73.77890815,4.068883333
2019-12-06,83.93623574,5.344333333
2019-12-07,80.91636115,4.428558333
2019-12-08,81.46790449,5.077075
2019-12-09,61.30788505,5.0002
2019-12-10,60.54377212,4.376766667
2019-12-11,68.95062491,5.168558333
2019-12-12,76.98429416,4.644183333
2019-12-13,75.90255117,4.143758333
2019-12-14,84.88059762,4.925783333
2019-12-15,76.07204674,5.208358333
2019-12-16,78.14347624,4.99965
2019-12-17,77.94346736,4.757833333
2019-12-18,70.36822921,4.156325
2019-12-19,78.06714009,3.243291667
2019-12-20,64.69162537,4.259316667
2019-12-21,82.21676331,4.399291667
2019-12-22,60.49224797,4.312083333
2019-12-23,80.25737052,4.073933333
2019-12-24,67.74430231,3.98975
2019-12-25,67.63623348,4.621975
2019-12-26,75.19495773,3.447866667
2019-12-27,75.95471354,4.633091667
2019-12-28,76.32490555,4.370766667
2019-12-29,73.80300758,4.674466667
2019-12-30,84.08749907,3.726258333
2019-12-31,80.96501977,4.288491667
2020-01-01,83.70730941,5.07465
2020-01-02,68.11311075,4.731758333
2020-01-03,63.18895586,4.44045
2020-01-04,60.44237102,3.618475
2020-01-05,81.86359152,4.872125
2020-01-06,70.89008782,4.023158333
2020-01-07,67.39285215,4.219875
2020-01-08,64.29792409,3.9045
2020-01-09,65.62512904,4.863875
2020-01-10,72.34655683,4.460858333
2020-01-11,65.55901557,3.445625
2020-01-12,65.92991342,2.95095
2020-01-13,67.91174794,4.940891667
2020-01-14,74.22727911,5.287825
2020-01-15,69.69250469,5.303925
2020-01-16,72.97746538,4.468491667
2020-01-17,80.58311758,4.801725
2020-01-18,77.46247881,3.778675
2020-01-19,66.24289263,4.791725
2020-01-20,72.96244806,5.269483333
2020-01-21,82.20132235,4.84485
2020-01-22,79.48746197,4.168266667
2020-01-23,83.05266113,4.586733333
2020-01-24,68.40994828,5.462783333
2020-01-25,76.61827091,5.043483333
2020-01-26,61.44432892,5.185541667
2020-01-27,84.4285727,4.759466667
2020-01-28,79.5164149,5.548808333
2020-01-29,74.37671701,4.882208333
2020-01-30,72.74831232,4.496141667
2020-01-31,74.59827958,4.346266667
2020-02-01,71.53914034,3.808933333
2020-02-02,81.08305582,4.807375
2020-02-03,76.69208752,5.049441667
2020-02-04,60.07748076,4.772808333
2020-02-05,79.76798567,5.172516667
2020-02-06,68.61560135,4.62125
2020-02-07,68.221907,5.256708333
2020-02-08,67.14574438,4.639883333
2020-02-09,76.95976768,3.420391667
2020-02-10,81.43525406,4.015516667
2020-02-11,69.42633522,5.081233333
2020-02-12,64.03814869,4.590058333
2020-02-13,70.12644246,5.550083333
2020-02-14,82.65052929,4.707008333
2020-02-15,72.65061161,5.042708333
2020-02-16,75.54118779,4.418366667
2020-02-17,81.3842326,5.067591667
2020-02-18,77.90623055,5.636816667
2020-02-19,76.79041536,6.350425
2020-02-20,83.89612571,5.145483333
2020-02-21,83.53209907,5.7667
2020-02-22,69.68113594,6.243441667
2020-02-23,60.06530537,6.434125
2020-02-24,62.6673872,6.1229
2020-02-25,78.0071967,5.188775
2020-02-26,65.72326849,5.680933333
2020-02-27,65.54940032,5.403366667
2020-02-28,64.56595764,6.12265
2020-02-29,82.30482922,5.796691667
2020-03-01,74.88923695,5.176516667
2020-03-02,63.66429443,4.816608333
2020-03-03,72.6161465,4.1532
2020-03-04,70.46245743,4.285125
2020-03-05,62.78228328,4.463325
2020-03-06,83.10785383,3.399758333
2020-03-07,62.56384478,5.052308333
2020-03-08,78.41201713,4.931158333
2020-03-09,70.01554065,4.916208333
2020-03-10,79.59305672,5.029041667
2020-03-11,70.73858114,4.954483333
2020-03-12,61.86801705,6.153458333
2020-03-13,82.27915168,6.144225
2020-03-14,75.00459407,5.178616667
2020-03-15,64.78337215,6.693333333
2020-03-16,81.32610463,6.1471
2020-03-17,66.79593751,5.987283333
2020-03-18,74.95654113,5.698666667
2020-03-19,73.80255292,5.195333333
2020-03-20,70.69409106,6.153958333
2020-03-21,81.5368371,6.044691667
2020-03-22,72.19813593,6.300491667
2020-03-23,77.8618266,5.735908333
2020-03-24,77.59843007,5.065016667
2020-03-25,66.46583975,5.75035
2020-03-26,65.64295468,5.283633333
2020-03-27,78.16473702,5.239491667
2020-03-28,73.16790602,4.19995
2020-03-29,78.50808763,5.704341667
2020-03-30,75.83693391,5.285141667
2020-03-31,60.67226397,4.233066667
2020-04-01,82.11412349,5.621783333
2020-04-02,74.55928009,5.678833333
2020-04-03,66.57508661,6.185891667
2020-04-04,62.87570892,5.683275
2020-04-05,75.3222915,6.892741667
2020-04-06,81.68313782,5.083058333
2020-04-07,61.78406378,4.884625
2020-04-08,77.17234434,3.9222
2020-04-09,60.87938942,5.728558333
2020-04-10,71.28257684,5.737091667
2020-04-11,82.41476398,4.889091667
2020-04-12,76.130166,5.596908333
2020-04-13,75.91324908,1.867816667
2020-04-14,70.20791599,4.534533333
2020-04-15,66.79622733,4.452058333
2020-04-16,77.3903263,5.429983333
2020-04-17,84.3892094,4.472725
2020-04-18,77.60284402,5.449091667
2020-04-19,80.89820241,5.1757
2020-04-20,79.2948459,5.584291667
2020-04-21,76.03952017,6.457483333
2020-04-22,77.48334589,4.577166667
2020-04-23,62.82706934,5.740241667
2020-04-24,84.1218026,5.062733333
2020-04-25,65.11002022,5.805525
2020-04-26,75.44146139,5.5169
2020-04-27,81.05356964,6.154783333
2020-04-28,64.64080488,5.878933333
2020-04-29,74.85887606,6.08545
2020-04-30,63.15958673,5.207166667
2020-05-01,66.45267836,6.03805
2020-05-02,72.70199367,4.663708333
2020-05-03,61.52043168,5.464791667
2020-05-04,83.57701162,4.592633333
2020-05-05,72.70031641,4.253583333
2020-05-06,64.16616159,4.880816667
2020-05-07,73.66441626,4.841466667
2020-05-08,79.27741162,4.510683333
2020-05-09,75.53316584,4.7767
2020-05-10,77.48359923,5.5035
2020-05-11,62.99092766,3.838958333
2020-05-12,83.66946472,4.668425
2020-05-13,61.29004466,5.32895
2020-05-14,79.66622125,5.247483333
2020-05-15,73.66880954,5.217991667
2020-05-16,60.20311141,4.272483333
2020-05-17,70.90608973,4.650916667
2020-05-18,74.52685415,6.124416667
2020-05-19,67.26114675,6.448066667
2020-05-20,70.21361199,3.399866667
2020-05-21,82.32711052,6.2427
2020-05-22,80.67790069,6.165941667
2020-05-23,62.74954517,1.4891
2020-05-24,81.82315425,5.269075
2020-05-25,75.91676788,4.344958333
2020-05-26,67.16432717,6.278041667
2020-05-27,75.5982992,5.529083333
2020-05-28,60.14444599,4.094625
2020-05-29,78.11811297,3.191908333
2020-05-30,74.37539486,4.843125
2020-05-31,79.16048578,5.349741667
2020-06-01,71.53446031,5.753025
2020-06-02,64.08646177,5.967441667
2020-06-03,80.38717989,6.481433333
2020-06-04,60.82239997,3.482566667
2020-06-05,75.2775677,6.091116667
2020-06-06,80.05087178,4.356791667
2020-06-07,76.95485378,5.720458333
2020-06-08,77.23057649,6.532991667
2020-06-09,61.45226716,3.159608333
2020-06-10,80.56177209,2.94105
2020-06-11,80.49167267,4.143441667
2020-06-12,76.09915651,5.833833333
2020-06-13,79.12138992,4.894733333
2020-06-14,69.28932896,2.969216667
2020-06-15,81.96849911,4.313208333
2020-06-16,77.38420173,4.991241667
2020-06-17,80.78633305,5.370116667
2020-06-18,70.69656628,6.145133333
2020-06-19,63.21001611,3.97175
2020-06-20,65.50143335,5.586458333
2020-06-21,60.59029075,3.6268
2020-06-22,71.52459314,5.206775
2020-06-23,76.83622871,5.4909
2020-06-24,65.04704193,4.751008333
2020-06-25,70.15457285,3.24855
2020-06-26,74.3154578,5.469508333
2020-06-27,74.96356782,5.332758333
2020-06-28,77.37486539,3.041866667
2020-06-29,70.47128212,2.168291667
2020-06-30,65.03854779,2.612158333
2020-07-01,60.27022685,4.446141667
2020-07-02,72.57201088,5.703241667
2020-07-03,60.52503388,4.314441667
2020-07-04,69.59664044,5.0388
2020-07-05,61.4168444,3.555841667
2020-07-06,60.63686397,3.430008333
2020-07-07,70.1795035,5.052775
2020-07-08,70.98429495,4.669158333
2020-07-09,62.52589819,4.819108333
2020-07-10,79.04237853,5.808341667
2020-07-11,61.03987646,5.056216667
2020-07-12,83.20947604,5.706333333
2020-07-13,79.82261729,5.080458333
2020-07-14,83.21232225,6.802625
2020-07-15,82.87603269,6.373325
2020-07-16,84.72339623,3.385833333
2020-07-17,70.1763765,4.903241667
2020-07-18,63.41637107,3.602683333
2020-07-19,74.51663485,5.185658333
2020-07-20,61.60675397,4.802258333
2020-07-21,74.38164019,3.878741667
2020-07-22,68.78996992,5.033941667
2020-07-23,80.34768649,5.238233333
2020-07-24,83.21377527,4.326291667
2020-07-25,63.95863352,5.342891667
2020-07-26,74.81788739,4.191575
2020-07-27,78.84769573,6.463783333
